date,category,title,link
"<pubDate>Sat, 14 Mar 2020 14:58:30 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>동성애가 아니라 혐오가 죄입니다, 책방 ‘꼴’에서 보여줄게요</title>",<link>http://www.hani.co.kr/arti/society/society_general/932553.html</link>
"<pubDate>Sat, 14 Mar 2020 14:35:15 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>정부 “수도권 집단감염 계속…주말 외출·이동 자제 당부”</title>,<link>http://www.hani.co.kr/arti/politics/administration/932544.html</link>
"<pubDate>Sat, 14 Mar 2020 14:26:41 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>대구 K마디병원에서 코로나19 확진자 20명 발생</title>,<link>http://www.hani.co.kr/arti/area/yeongnam/932548.html</link>
"<pubDate>Sat, 14 Mar 2020 14:15:37 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>청도 거주 88살 환자 부산서 숨져…사망자 73명으로 늘어</title>,<link>http://www.hani.co.kr/arti/area/yeongnam/932546.html</link>
"<pubDate>Sat, 14 Mar 2020 14:02:28 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>코로나19 국내 신규 확진 107명…사흘째 100명대</title>,<link>http://www.hani.co.kr/arti/society/health/932541.html</link>
"<pubDate>Sat, 14 Mar 2020 10:56:53 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>트럼프 “국가 비상” 선포…한국식 드라이브 스루 검사 도입</title>,<link>http://www.hani.co.kr/arti/international/international_general/932539.html</link>
"<pubDate>Sat, 14 Mar 2020 10:34:00 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>“한국은 코로나19 방역 롤모델” 미국 의회·해외 언론 평가</title>,<link>http://www.hani.co.kr/arti/international/international_general/932480.html</link>
"<pubDate>Sun, 15 Mar 2020 09:17:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>대기업에 맞선 인고의 세월…“2890년에 사건이 끝나겠다”</title>,<link>http://www.hani.co.kr/arti/society/society_general/932543.html</link>
"<pubDate>Sat, 14 Mar 2020 09:09:26 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>글로벌 증시 폭락 하루만에 급반등…미국 다우지수 9.36%↑</title>,<link>http://www.hani.co.kr/arti/economy/finance/932534.html</link>
"<pubDate>Sun, 15 Mar 2020 09:17:34 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>코로나19 수상한 시절에 ‘유일하게 안전한’ 독일의 그곳</title>,<link>http://www.hani.co.kr/arti/international/europe/932536.html</link>
"<pubDate>Sat, 14 Mar 2020 11:13:26 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>경남에서 치료받던 대구지역 코로나19 환자 7명 퇴원</title>,<link>http://www.hani.co.kr/arti/area/yeongnam/932542.html</link>
